epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.03407454863190651,0.0020000000949949026,4.684581279754639,0.03646833077073097,4.781732559204102
1,0.13261878490447998,0.0020000000949949026,3.8617117404937744,0.1797824651002884,4.094532012939453
2,0.2090865522623062,0.0020000000949949026,3.266206741333008,0.34420984983444214,2.962583303451538
3,0.28427451848983765,0.0020000000949949026,2.8507723808288574,0.40946897864341736,2.4782044887542725
4,0.33834585547447205,0.0020000000949949026,2.538116693496704,0.44145873188972473,2.313002586364746
5,0.38073909282684326,0.0020000000949949026,2.2820661067962646,0.47856685519218445,2.2133398056030273
6,0.43896976113319397,0.0020000000949949026,2.050664186477661,0.48304542899131775,2.12296462059021
7,0.46248599886894226,0.0020000000949949026,1.9026908874511719,0.4907229542732239,2.097524404525757
8,0.4948008358478546,0.0020000000949949026,1.7615269422531128,0.5067178606987,2.0896551609039307
9,0.5341545343399048,0.0020000000949949026,1.6224852800369263,0.5188739895820618,2.1053078174591064
10,0.5530315041542053,0.0020000000949949026,1.5414929389953613,0.5124760270118713,2.1111862659454346
11,0.5763877630233765,0.0020000000949949026,1.476424217224121,0.5252718925476074,2.11655592918396
12,0.5960646271705627,0.0020000000949949026,1.3997821807861328,0.5188739895820618,2.1991283893585205
13,0.6130219101905823,0.0020000000949949026,1.3392455577850342,0.5361484289169312,2.151252269744873
14,0.6277395486831665,0.0020000000949949026,1.2486495971679688,0.5425463914871216,2.149528980255127
15,0.6331787109375,0.0020000000949949026,1.2465438842773438,0.5431861877441406,2.222261905670166
16,0.644696831703186,0.0020000000949949026,1.1697474718093872,0.5361484289169312,2.2505788803100586
17,0.6677331924438477,0.0014000000664964318,1.097819447517395,0.5470249652862549,2.227536916732788
18,0.6992481350898743,0.0014000000664964318,1.0036567449569702,0.5457453727722168,2.2894206047058105
19,0.7099664211273193,0.0014000000664964318,0.9625685811042786,0.5559821128845215,2.2709474563598633
20,0.706606924533844,0.0014000000664964318,0.9549752473831177,0.5566219091415405,2.341104507446289
21,0.7128459215164185,0.0014000000664964318,0.9580191373825073,0.549584150314331,2.3338534832000732
22,0.7160454392433167,0.0014000000664964318,0.9252567887306213,0.5662187933921814,2.3264107704162598
23,0.7266037464141846,0.0014000000664964318,0.918515145778656,0.548944354057312,2.3978660106658936
24,0.7277235388755798,0.0014000000664964318,0.8840433359146118,0.5566219091415405,2.4594504833221436
25,0.7405214905738831,0.0009800000116229057,0.846149206161499,0.5623800158500671,2.4521889686584473
26,0.7450007796287537,0.0009800000116229057,0.8102723360061646,0.5642994046211243,2.429877996444702
27,0.7555590867996216,0.0009800000116229057,0.7925838232040405,0.5591810345649719,2.5118510723114014
28,0.7609982490539551,0.0009800000116229057,0.7593220472335815,0.5617402195930481,2.4727938175201416
29,0.766597330570221,0.0009800000116229057,0.74342942237854,0.5572617053985596,2.5528533458709717
30,0.7673972249031067,0.0009800000116229057,0.731148898601532,0.5553423166275024,2.5985655784606934
31,0.7661173939704895,0.0009800000116229057,0.7302860617637634,0.5591810345649719,2.617875576019287
32,0.7721964716911316,0.0009800000116229057,0.7301706671714783,0.5636596083641052,2.620638608932495
33,0.7741161584854126,0.0006859999848529696,0.6999489665031433,0.5674983859062195,2.610253095626831
34,0.7728363275527954,0.0006859999848529696,0.7014721632003784,0.5649392008781433,2.605292558670044
35,0.7981122732162476,0.0006859999848529696,0.6526719927787781,0.5713371634483337,2.6385855674743652
36,0.7969924807548523,0.0006859999848529696,0.6634604930877686,0.5700575709342957,2.660813808441162
37,0.7993921041488647,0.0006859999848529696,0.6468554139137268,0.5726167559623718,2.6985952854156494
38,0.7952327728271484,0.0006859999848529696,0.6295093297958374,0.5636596083641052,2.73543381690979
39,0.7945928573608398,0.0006859999848529696,0.641244649887085,0.5630198121070862,2.752314329147339
